"college_institution_id","survey_year","non_teaching_staff_count_id"
"92","2015","441072"
"92","2015","441073"
"33082","2015","441081"
"33082","2015","441082"
"16138","2015","441095"
"16138","2015","441096"
"4097","2015","441101"
"4097","2015","441102"
"4097","2015","441103"
"49885","2015","441124"
"49885","2015","441125"
"8684","2015","441143"
"8684","2015","441144"
"6008","2015","441167"
"51662","2015","441184"
"40466","2015","441185"
"7180","2015","441186"
"16273","2015","441187"
"33694","2015","441190"
"33694","2015","441191"
"33694","2015","441192"
"33694","2015","441193"
"45044","2015","441200"
"45044","2015","441201"
"45044","2015","441202"
"48648","2015","441203"
"48648","2015","441204"
"48648","2015","441205"
"18749","2015","441214"
"18749","2015","441215"
"18749","2015","441216"
"417","2015","441217"
"40283","2015","441224"
"40283","2015","441225"
"1042","2015","441226"
"1042","2015","441227"
"1042","2015","441228"
"1042","2015","441229"
"1042","2015","441230"
"1042","2015","441231"
"645","2015","441232"
"645","2015","441233"
"645","2015","441234"
"45039","2015","441235"
"1048","2015","441238"
"1048","2015","441239"
"1048","2015","441240"
"1048","2015","441241"
"1048","2015","441242"
"1048","2015","441243"
"1048","2015","441244"
"1048","2015","441245"
"11818","2015","441246"
"11818","2015","441247"
"11818","2015","441248"
"33974","2015","441249"
"33974","2015","441250"
"33974","2015","441251"
"22331","2015","441260"
"10198","2015","441268"
"10198","2015","441269"
"10198","2015","441270"
"747","2015","441271"
"747","2015","441272"
"747","2015","441273"
"747","2015","441274"
"747","2015","441275"
"851","2015","441277"
"851","2015","441278"
"851","2015","441279"
"21920","2015","441280"
"997","2015","441281"
"997","2015","441282"
"997","2015","441283"
"997","2015","441284"
"25688","2015","441286"
"25688","2015","441287"
"25688","2015","441288"
"25688","2015","441289"
"6699","2015","441290"
"6699","2015","441291"
"6699","2015","441292"
"6699","2015","441293"
"29825","2015","441299"
"866","2015","441300"
"866","2015","441301"
"866","2015","441302"
"866","2015","441303"
"35556","2015","441314"
"35556","2015","441315"
"35556","2015","441316"
"35556","2015","441317"
"49374","2015","441320"
"49374","2015","441321"
"49374","2015","441322"
"26437","2015","441323"
"40401","2015","441330"
"40401","2015","441331"
"40401","2015","441332"
"85","2015","441342"
"85","2015","441343"
"13973","2015","441344"
"13973","2015","441345"
"13973","2015","441346"
"13973","2015","441347"
"33766","2015","441348"
"33766","2015","441349"
"33766","2015","441350"
"759","2015","441357"
"759","2015","441358"
"759","2015","441359"
"759","2015","441360"
"41559","2015","441361"
"41559","2015","441362"
"41559","2015","441363"
"45108","2015","441364"
"45108","2015","441365"
"45108","2015","441366"
"158","2015","441381"
"158","2015","441382"
"50511","2015","441386"
"50511","2015","441387"
"42181","2015","441388"
"21020","2015","441398"
"21020","2015","441399"
"49851","2015","441400"
"42900","2015","441401"
"42900","2015","441402"
"42900","2015","441403"
"50021","2015","441404"
"167","2015","441405"
"167","2015","441406"
"18050","2015","441407"
"18050","2015","441408"
"24655","2015","441409"
"11553","2015","441415"
"100","2015","441419"
"100","2015","441420"
"14919","2015","441421"
"4099","2015","441422"
"4099","2015","441423"
"4099","2015","441424"
"6798","2015","441425"
"6798","2015","441426"
"6798","2015","441427"
"6798","2015","441428"
