"id","country_id","programme_id","discipline","total","girls","broad_discipline_group_id","level_id"
"58866","206","046","Computer","1","1","183","4"
"51787","20","044","Management","1","0","055","4"
"53437","153","006","Arts","1","0","178","4"
"51332","27","027","B.Pharma","1","0","076","4"
"58447","103","124","Islamic Studies","1","0","086","3"
"52205","216","193","Pharm D (PB)","1","0","076","3"
"57001","102","124","Sociology","1","0","115","3"
"60846","46","012","commerce","1","0","009","4"
"54690","232","157","Computer Science (ASE, AMR)","2","1","017","1"
"51003","213","036","CIVIL","1","0","016","4"
"50949","153","050","CIVIL","38","0","016","4"
"49283","230","012","Accounting & Finance","5","4","009","4"
"51740","230","043","Business Administration","7","0","133","4"
"60237","153","006","SOCIOLOGY","1","1","178","4"
"55977","40","129","Anasthesia","5","2","068","4"
"52911","113","124","Library and Information Science","1","0","053","3"
"53747","160","122","IT","1","0","185","3"
