"standalone_institution_id","survey_year","teaching_staff_sanctioned_strength_id"
"9430","2015","522844"
"9430","2015","522845"
"9430","2015","522846"
"9430","2015","522847"
"14164","2015","522853"
"14164","2015","522854"
"14164","2015","522855"
"14164","2015","522856"
"14164","2015","522857"
"14164","2015","522858"
"2149","2015","724601"
"12202","2015","522874"
"12202","2015","522875"
"12202","2015","522876"
"3321","2015","522893"
"3321","2015","522894"
"3321","2015","522895"
"9616","2015","522930"
"9616","2015","522931"
"9616","2015","522932"
"5481","2015","522942"
"5481","2015","522943"
"5481","2015","522944"
"5481","2015","522945"
"5481","2015","522946"
"2149","2015","724602"
"5481","2015","522948"
"8635","2015","522964"
"8635","2015","522965"
"8635","2015","522966"
"8635","2015","522967"
"5375","2015","522971"
"5375","2015","522972"
"5375","2015","522973"
"3239","2015","523032"
"3239","2015","523033"
"3239","2015","523034"
"3239","2015","523035"
"9461","2015","523041"
"9461","2015","523042"
"9461","2015","523043"
"537","2015","523154"
"537","2015","523155"
"537","2015","523156"
"537","2015","523157"
"537","2015","523158"
"9026","2015","523167"
"9026","2015","523168"
"9026","2015","523169"
"10188","2015","523184"
"10188","2015","523185"
"10188","2015","523186"
"9698","2015","523187"
"9698","2015","523188"
"9698","2015","523189"
"9913","2015","523190"
"9913","2015","523191"
"9913","2015","523192"
"4221","2015","523196"
"4221","2015","523197"
"4221","2015","523198"
"9580","2015","523199"
"9580","2015","523200"
"9580","2015","523201"
"9338","2015","523211"
"9338","2015","523212"
"9338","2015","523213"
"3388","2015","523214"
"3388","2015","523215"
"3388","2015","523216"
"9878","2015","523222"
"9878","2015","523223"
"9878","2015","523224"
"2015","2015","523230"
"2015","2015","523231"
"14172","2015","523238"
"14172","2015","523239"
"14172","2015","523240"
"9840","2015","523241"
"9840","2015","523242"
"9840","2015","523243"
"14497","2015","523292"
"14497","2015","523293"
"14497","2015","523294"
"14497","2015","523295"
"14497","2015","523296"
"9863","2015","523300"
"9863","2015","523301"
"9863","2015","523302"
"1993","2015","523308"
"1993","2015","523309"
"1993","2015","523310"
"1993","2015","523311"
"1993","2015","523312"
"754","2015","523316"
"754","2015","523317"
"754","2015","523318"
"754","2015","523319"
"14733","2015","523342"
"14733","2015","523343"
"14733","2015","523344"
"3285","2015","523352"
"3285","2015","523353"
"3285","2015","523354"
"3285","2015","523355"
"3285","2015","523356"
"9313","2015","523360"
"9313","2015","523361"
"9313","2015","523362"
"7497","2015","523367"
"7497","2015","523368"
"7497","2015","523369"
"7497","2015","523370"
"1982","2015","523374"
"1982","2015","523375"
"1982","2015","523376"
"9221","2015","523377"
"9221","2015","523378"
"9221","2015","523379"
