"id","intake_capacity","name","students_residing","type_id"
"188659","150","Sri Sarada Niketanam Oriental College","100","2"
"177301","80","Prakash Hostel for boys","45","1"
"171159","45","WB 75","45","1"
"186849","20","HOSTEL-2","0","2"
"192663","119","NIH UG","110","2"
"158265","50","boys hostel","3","1"
"190886","100","MES Dental College Mens Hostel","30","1"
"181190","36","luqman girls Hostel college campus","36","2"
"189032","50","Jaya Arts and Science hostel for girls","1","2"
"163168","400","S.N.R.SONS COLLEGE HOSTEL FOR MEN","159","1"
"188384","67","Women's Hostel","67","2"
"192529","102","Shri.S.B.Education Society's hostel","102","1"
"173911","30","SIVAGAMIAMMAL GIRLS HOSTEL","27","2"
"160998","60","1","60","1"
"192844","160","MVP PG Hostel","141","1"
"170808","121","Savitri Bai Phule","70","2"
"176085","45","Hall of Residence 17","24","2"
"179107","12","Dr. Shri RMSIST GIRL HOSTELPHARMACY COLLEGE CAMP","0","2"
"161718","110","3","101","1"
"166553","81","Assisi Block","80","1"
"164313","48","Girls Hostel-II","0","2"
"171575","72","Prime Boys Hostel","38","1"
"177496","80","Post Graduate","15","1"
"151719","60","BOYS HOSTEL","55","1"
"167604","80","Gargi Hostel","80","2"
"193934","32","Girls Hostel","2","2"
"175877","30","JUNIOR GIRLS HOSTEL","16","2"
"184882","256","Hostel NO.8 (RAMANUJAN BHAVAN) BLOCK A","504","1"
"181150","100","SANSKRITI HOSTEL B","22","1"
"171741","200","girls hostel","0","2"
"157923","40","Atisai loj","10","1"
"190285","30","SC/ST HOSTEL","0","1"
"172949","250","PHALGUNI","173","2"
"154181","65","BOYS HOSTEL","65","1"
"157813","150","Boys Hostel","79","1"
"161609","100","GIRLS HOSTEL","0","2"
"192213","48","Hostel 1","0","1"
"164658","80","GOKHALE HOSTEL","52","1"
"161579","304","Samta Girls Hostel","273","2"
"178796","100","Block 1","100","1"
"169161","60","Chhatra hostel","60","2"
"152722","100","Boys' Hostel Block A","100","1"
"158242","105","GARNET HALL","41","2"
"159558","1400","Shanti sadan Girls Hostel","35","2"
"173867","36","New Block","36","2"
"176294","50","VASUKI HOSTEL","3","2"
"192102","80","Auribindo","80","1"
"156776","100","II YEAR","75","2"
"189555","1000","SGS ARTS COLLEGE HOSTEL","935","1"
"171519","150","Nivedita Abas","135","2"
"155391","60","Woman Hostel","0","2"
"155626","146","Girls Hostel","146","2"
"164733","500","Baldevjew hall of residence","200","1"
"170950","64","A.T.2 Girl's Hall","20","2"
"160486","200","Tagore Hostel","113","1"
"163037","66","shakthi Hostel 1","40","2"
"164136","0","Boys Hostel","0","1"
"190560","20","MEn's Hostel","7","1"
"161575","32","OBC Boys Hostel","32","1"
"180996","50","SAVITRIBAI PHULE VASATIGRUGH","43","2"
"151118","50","Welfare Boys Hostel","21","1"
"166730","400","BHARATHI VIDHYARTHI NILAYA","256","1"
"193469","75","2618","56","2"
"161647","50","st.alphonsa hostel","16","2"
